"","ortho","freq","aoa.mean","aoa.sd","klatt","neighbors","degree","c"
"1","air","139.02",3.94,1.55,"Er","CEr;Ir;hEr",3,0.333333333333333
"2","animal","45.49",2.89,1.41,"@n|mL","",0,NA
"3","arm","65.41",3.26,1.56,"arm","farm",1,NA
"4","ask","483.14",2.89,1.37,"@sk","",0,NA
"5","baby","509.37",3.84,2.01,"bebi","",0,NA
"6","bad","545.18",2.79,1.27,"b@d","b@T;bEd;bRd;d@d;m@d;s@d",6,0.266666666666667
"7","ball","104.96",2.9,1.22,"bcl","bEl;wcl",2,0
"8","banana","10.73",3.78,1.17,"b|n@nx","",0,NA
"9","bantling","#N/A",2,NA,"b@ntlIG","",0,NA
"10","bath","31.12",3.23,1.56,"b@T","b@d",1,NA
"11","bean","6.84",3.42,1.12,"bin","",0,NA
"12","bed","187.12",2.89,1.41,"bEd","b@d;bEl;bRd;brEd;hEd;rEd",6,0.2
"13","bell","39.33",3.89,1.68,"bEl","bcl;bEd;fEl;yEl",4,0.166666666666667
"14","big","682.82",2.89,1.08,"bIg","b^g;pIg",2,0
"15","bird","45.45",3.52,1.66,"bRd","b@d;bEd",2,1
"16","black","167.94",3.56,1.92,"bl@k","",0,NA
"17","blanket","12.98",3.61,1.09,"bl@Gk|t","",0,NA
"18","boat","95.78",3.84,1.46,"bot","but;kot",2,0
"19","boo","11.69",3.78,2.29,"bu","but;bO;mu;Su;tu;hu",6,0.4
"20","book","176.98",3.68,1.8,"bUk","",0,NA
"21","boot","11.14",3.89,1.84,"but","bot;bu",2,0
"22","bottle","50.75",3.56,1.79,"batL","",0,NA
"23","boy","529.82",3.67,1.88,"bO","bu;tO",2,0
"24","bread","28.33",3.58,1.61,"brEd","bEd;rEd",2,1
"25","breakfast","66.29",3.47,1.81,"brEkf|st","",0,NA
"26","brother","283.94",3.63,1.54,"br^DX","",0,NA
"27","brush","14.16",3.78,1.59,"br^S","",0,NA
"28","bubble","8",3.79,1.78,"b^bL","",0,NA
"29","bug","20.94",3.79,1.72,"b^g","bIg;b^s;h^g",3,0
"30","bus","74.18",3.85,1.57,"b^s","b^g",1,NA
"31","butterfly","5.51",3.67,2.14,"b^tXflY","",0,NA
"32","cake","45.06",3.26,2.28,"kek","",0,NA
"33","car","483.06",3.37,1.95,"kar","",0,NA
"34","cartoon","3.76",3.11,1.32,"kartun","",0,NA
"35","cat","66.33",3.68,1.52,"k@t","kot;h@t",2,0
"36","chair","49.24",3.43,1.33,"CEr","Er;hEr",2,1
"37","chocolate","29.39",3.33,1.14,"Cckl|t","",0,NA
"38","circle","21.51",3.67,0.91,"sRkL","",0,NA
"39","clap","4.73",3.4,1.73,"kl@p","l@p",1,NA
"40","clean","121.24",3.89,1.49,"klin","klWn",1,NA
"41","clothes","101.14",3.11,1.41,"kloz","",0,NA
"42","cloud","11.75",3.63,1.57,"klWd","klWn",1,NA
"43","clown","15.82",3.72,1.93,"klWn","klin;klWd",2,0
"44","coat","42.08",3.58,1.22,"kot","bot;k@t",2,0
"45","cold","130.16",3.95,1.79,"kold","old",1,NA
"46","come","3140.98",3.32,1.42,"k^m","k^p",1,NA
"47","couch","23.47",3.74,1.85,"kWC","kW",1,NA
"48","count","89.96",2.61,0.98,"kWnt","",0,NA
"49","cow","25.51",3.94,1.63,"kW","kWC",1,NA
"50","crawl","12.04",3.89,1.23,"krcl","",0,NA
"51","crayon","0.41",3.2,1.47,"krean","",0,NA
"52","cry","65.65",2.78,1.66,"krY","trY",1,NA
"53","cup","51.65",3.57,1.99,"k^p","k^m;^p",2,0
"54","dad","507.25",2.58,1.17,"d@d","b@d;d@di;m@d;s@d",4,0.5
"55","daddy","185.08",2.56,1.29,"d@di","d@d",1,NA
"56","dark","88.61",3.74,1.37,"dark","",0,NA
"57","day","801.82",3.5,1.58,"de","se",1,NA
"58","diaper","4.27",3.4,1.82,"dYpX","",0,NA
"59","dinner","202.67",3.99,1.79,"dInX","",0,NA
"60","dirt","25.69",3.83,1.15,"dRt","SRt",1,NA
"61","dog","192.84",2.8,1.2,"dcg","",0,NA
"62","doll","24.76",3.68,1.34,"dal","",0,NA
"63","door","292.06",3.05,1.15,"doX","",0,NA
"64","drink","247.39",3.47,1.31,"drIGk","",0,NA
"65","drop","130.61",3.26,1.33,"drap","",0,NA
"66","duck","24.76",3.5,1.64,"d^k","",0,NA
"67","ear","32",3.63,1.92,"Ir","Er;hIr;In",3,0
"68","eat","251.88",2.78,1.48,"it","Wt",1,NA
"69","face","289.16",3.75,2.2,"fes","",0,NA
"70","family","354.25",3.38,1.43,"f@mLi","",0,NA
"71","farm","30.04",3.85,1.5,"farm","arm",1,NA
"72","fast","137.45",3.74,1.33,"f@st","",0,NA
"73","fell","73",3.28,1.2,"fEl","bEl;yEl",2,1
"74","finger","36.67",3.43,2.2,"fIGgX","",0,NA
"75","fire","215.49",3.25,1.16,"fYr","",0,NA
"76","flower","22.76",3.11,1.24,"flWX","",0,NA
"77","fly","85",3.05,1.18,"flY","lY",1,NA
"78","food","154.43",3.25,1.21,"fud","",0,NA
"79","foot","64.92",3.44,1.38,"fUt","pUt",1,NA
"80","fork","8.82",3.63,1.86,"fork","",0,NA
"81","friend","419.29",3.57,1.43,"frEnd","",0,NA
"82","fruit","21.73",3.63,1.71,"frut","",0,NA
"83","fun","235.49",3.67,0.97,"f^n","w^n;s^n",2,1
"84","get","4583.76",3.17,1.29,"gEt","wEt",1,NA
"85","go","3793.04",3.37,1.46,"go","to",1,NA
"86","good","2610.14",3.55,1.61,"gUd","",0,NA
"87","grandmother","27.78",3.67,1.28,"gr@ndm^DX","",0,NA
"88","grape","4",3.94,1.55,"grep","",0,NA
"89","grass","16.78",3.94,1.55,"gr@s","",0,NA
"90","green","72.47",3.79,1.32,"grin","",0,NA
"91","hair","153.55",3.17,1.76,"hEr","Er;CEr;hEd;hIr",4,0.166666666666667
"92","hand","279.65",2.74,1.24,"h@nd","",0,NA
"93","happy","333.2",2.72,1.6,"h@pi","",0,NA
"94","hat","64.18",3.33,1.14,"h@t","k@t;hat",2,0
"95","he","7637.2",3.81,1.41,"hi","mi;Si;hu",3,0.333333333333333
"96","head","371.51",3.42,1.02,"hEd","bEd;hEr;rEd",3,0.333333333333333
"97","hear","555.35",3.8,1.64,"hIr","Ir;hEr;hIl;hIm;hIz",5,0.3
"98","hello","585.43",3.76,1.99,"hElo","hElp;yElo",2,0
"99","help","921.12",3.65,1.79,"hElp","hElo",1,NA
"100","hill","37.55",3.47,1.47,"hIl","hIr;hIm;hIz",3,1
"101","him","3484.51",3.43,1.21,"hIm","hIr;hIl;hIz;hom",4,0.5
"102","his","2124.78",3.69,1.29,"hIz","hIr;hIl;hIm",3,1
"103","home","774.33",3.87,1.88,"hom","hIm",1,NA
"104","hot","189.84",3.37,1.77,"hat","h@t;hwat",2,0
"105","house","514",3.16,1.07,"hWs","",0,NA
