"","ortho","freq","aoa.mean","aoa.sd","klatt","neighbors","degree","c"
"1","aardvark","0.41",9.89,3.66,"ardvark","",0,NA
"2","abacus","0.24",8.69,3.77,"@bxkxs","",0,NA
"3","abalone","0.51",12.23,3.54,"@bxloni","",0,NA
"4","abandon","8.1",8.32,2.75,"xb@nd|n","",0,NA
"5","abbot","0.84",12.1,4.7,"@bxt","",0,NA
"6","abbreviate","0.02",9.95,2.07,"xbriviet","",0,NA
"7","abbreviation","0.24",9.11,2.37,"xbrivieS|n","",0,NA
"8","abdicate","0.18",12.6,3.18,"@bdIket","",0,NA
"9","abdomen","3.35",8.61,2.25,"@bdxmxn","",0,NA
"10","abdominal","3.41",10.24,3.6,"@bdamxnL","",0,NA
"11","abduct","0.71",11.26,4.03,"@bd^kt","",0,NA
"12","aberration","0.55",12.69,3.33,"@bXeS|n","@dXeS|n",1,NA
"13","abet","0.1",12.15,3.31,"xbEt","xbWt;bEt",2,0
"14","abide","2.71",9.5,3.11,"xbYd","xbod;xlYd;xsYd",3,0.333333333333333
"15","ability","19.22",8.84,3.22,"xbIl|ti","xJIl|ti",1,NA
"16","ablaze","0.41",10.83,2.68,"xblez","blez",1,NA
"17","able","159.9",7.79,3.31,"ebL","kebL;febL;gebL;lebL;sebL;tebL",6,1
"18","abnormal","2.9",10.05,2.61,"@bnormL","",0,NA
"19","abnormality","0.51",11.58,3.34,"@bnorm@l|ti","",0,NA
"20","aboard","26.63",8.66,1.33,"xbord","xbod;xkord;xford;xword;bord",5,0.3
"21","abode","0.65",12.06,2.93,"xbod","xbYd;xbord;bod",3,0
"22","abolish","0.47",10.42,2.57,"xbalIS","",0,NA
"23","abolitionist","0.22",12.6,3.5,"@bxlIS|n|st","",0,NA
"24","abominable","0.63",8.94,3.04,"xbamxnxbL","",0,NA
"25","aborigine","0.08",12.56,4.18,"@bXIJ|ni","",0,NA
"26","abound","0.35",11.65,3.12,"xbWnd","xrWnd;bWnd",2,0
"27","about","3631.49",5.07,1.75,"xbWt","xbEt;bWt",2,0
"28","above","48.88",4.55,2,"xb^v","",0,NA
"29","abracadabra","1.04",6.89,3.43,"@brxkxd@brx","",0,NA
"30","abrasive","0.45",12.22,4.02,"xbresIv","",0,NA
"31","abroad","4.9",10.15,3.2,"xbrcd","brcd",1,NA
"32","abrupt","1.14",10.95,3.47,"xbr^pt","",0,NA
"33","absence","6.31",7.7,2.2,"@bs|ns","@bs|nt",1,NA
"34","absent","2.57",6.5,2.18,"@bs|nt","@bs|ns;@bs|nti",2,0
"35","absentee","0.35",11,3.61,"@bs|nti","@bs|nt",1,NA
