"","ortho","freq","aoa.mean","aoa.sd","klatt","neighbors","degree","c"
"1","aardvark","0.41",9.89,3.66,"ardvark","",0,NA
"2","abacus","0.24",8.69,3.77,"@bxkxs","",0,NA
"3","abalone","0.51",12.23,3.54,"@bxloni","",0,NA
"4","abandon","8.1",8.32,2.75,"xb@nd|n","",0,NA
"5","abbey","3.18",13.06,3.59,"@bi","@li;@Si;k@bi;S@bi",4,0.333333333333333
"6","abbot","0.84",12.1,4.7,"@bxt","@gxt",1,NA
"7","abbreviate","0.02",9.95,2.07,"xbriviet","",0,NA
"8","abbreviation","0.24",9.11,2.37,"xbrivieS|n","",0,NA
"9","abdicate","0.18",12.6,3.18,"@bdIket","",0,NA
"10","abdomen","3.35",8.61,2.25,"@bdxmxn","",0,NA
"11","abdominal","3.41",10.24,3.6,"@bdamxnL","",0,NA
"12","abduct","0.71",11.26,4.03,"@bd^kt","",0,NA
"13","abeam","0.14",13.4,2.88,"xbim","bim",1,NA
"14","aberrant","0.29",13.31,3.5,"@bErxnt","",0,NA
"15","aberration","0.55",12.69,3.33,"@bXeS|n","@dXeS|n",1,NA
"16","abet","0.1",12.15,3.31,"xbEt","xbWt;xb^t;bEt",3,0.333333333333333
"17","abhor","0.24",13.76,3.27,"xbhor","",0,NA
"18","abide","2.71",9.5,3.11,"xbYd","xbod;xlYd;xsYd;bYd",4,0.166666666666667
"19","ability","19.22",8.84,3.22,"xbIl|ti","xJIl|ti",1,NA
"20","ablaze","0.41",10.83,2.68,"xblez","blez",1,NA
"21","able","159.9",7.79,3.31,"ebL","enL;kebL;febL;gebL;lebL;sebL;tebL",7,0.714285714285714
"22","ablution","0.06",13.64,3.41,"xbluS|n","",0,NA
"23","abnormal","2.9",10.05,2.61,"@bnormL","",0,NA
"24","abnormality","0.51",11.58,3.34,"@bnorm@l|ti","",0,NA
"25","aboard","26.63",8.66,1.33,"xbord","xbod;xkord;xford;xword;bord",5,0.3
"26","abode","0.65",12.06,2.93,"xbod","xbYd;xbord;bod",3,0
"27","abolish","0.47",10.42,2.57,"xbalIS","",0,NA
"28","abolition","0.2",13.28,3.41,"@bxlIS|n","",0,NA
"29","abolitionist","0.22",12.6,3.5,"@bxlIS|n|st","",0,NA
"30","abominable","0.63",8.94,3.04,"xbamxnxbL","",0,NA
"31","aborigine","0.08",12.56,4.18,"@bXIJ|ni","",0,NA
"32","aborning","0.02",13.25,3.77,"xbornIG","",0,NA
"33","abortion","7.24",13.21,3.41,"xborS|n","",0,NA
"34","abound","0.35",11.65,3.12,"xbWnd","xrWnd;bWnd",2,0
