"","ortho","freq","aoa.mean","aoa.sd","klatt","neighbors","degree","c"
"85","accession","0.12",12.25,3.09,"aksES|n","absES|n",1,NA
"86","accessory","2.88",11.15,3.65,"@ksEsXi","",0,NA
"87","accident","81.29",5.3,2.18,"@ks|d|nt","",0,NA
"88","accidental","3",6.75,3.11,"@ksxdEntL","aksxdEntL",1,NA
"89","acclaim","0.43",12.11,3.76,"xklem","xflem;klem",2,0
"90","acclamation","0.02",14,2.7,"@klxmeS|n","",0,NA
"91","acclimate","0.16",14.24,2.75,"@klxmet","",0,NA
"92","acclimatize","0.02",14,3.63,"xklYmxtYz","",0,NA
"93","accolade","0.02",12.43,4.35,"@kxled","",0,NA
"94","accommodate","2.14",9.9,2.25,"xkamxdet","",0,NA
"95","accommodation","0.94",9.58,3.15,"xkamxdeS|n","",0,NA
"96","accompaniment","0.29",11.18,3.32,"xk^mpxnimxnt","",0,NA
"97","accomplice","4.24",9.78,2.82,"xkamplxs","",0,NA
"98","accomplish","5.84",7.84,2.75,"xkamplIS","",0,NA
"99","accord","1.63",9.65,2.74,"xkord","xbord;xford;xword;kord",4,0.5
"100","accordance","1.59",11.75,3.48,"xkordNs","",0,NA
"101","accordion","1.31",8.61,2.97,"xkordixn","",0,NA
"102","accost","0.06",13.37,4.45,"xkcst","xkRst;kcst",2,0
"103","account","44.71",8.26,2.84,"xkWnt","xmWnt;kWnt",2,0
"104","accountant","6.18",11.67,3.69,"xkWntNt","",0,NA
"105","accrue","0.08",14.11,2.32,"xkru","kru;skru",2,1
"106","accumulate","0.57",12.3,2.99,"xkyumyUlet","",0,NA
"107","accuracy","1.49",9.71,2.55,"@kyXxsi","",0,NA
"108","accurate","7.84",9.44,2.2,"@kyX|t","",0,NA
"109","accursed","0.65",12.71,3.38,"xkRst","xkcst",1,NA
"110","accusation","2.8",10.17,3.24,"@kyuzeS|n","",0,NA
"111","accusative","#N/A",13.33,3.56,"xkyuz|tIv","",0,NA
"112","accuse","5.69",9.1,2.13,"xkyuz","xbyuz;xkyuzX;xkyut;xmyuz",4,0.166666666666667
"113","accuser","0.29",11.72,3.48,"xkyuzX","xkyuz",1,NA
"114","accustom","0.12",12,2.94,"xk^stxm","k^stxm",1,NA
"115","ace","14.73",8.83,3.65,"es","ek;eJ;ed;el;em;ep;@s;bes;kes;Ces;des;fes;Ys;les;mes;pes;res;^s;ves",19,0.368421052631579
"116","acetate","0.12",12.85,3.89,"@sxtet","",0,NA
"117","acetic","0.02",13.75,2.41,"xsitIk","xsEtIk",1,NA
"118","acetone","0.16",14.05,4.2,"@sxton","",0,NA
"119","ache","2.49",5.79,2.27,"ek","es;ekX;eJ;ed;el;em;ep;bek;kek;ik;fek;Rk;lek;mek;ok;rek;sek;Sek;tek;wek",20,0.331578947368421
"120","achieve","7.33",8.53,1.95,"xCiv","",0,NA
"121","acid","9.96",9.6,2.3,"@s|d","",0,NA
"122","acidic","0.22",11.21,1.72,"xsIdIk","",0,NA
"123","acidity","0.2",12.78,2.88,"xsId|ti","",0,NA
"124","acknowledge","6.14",9.11,2.83,"@knal|J","",0,NA
"125","acme","1.25",9.54,3.8,"@kmi","@kni",1,NA
"126","acne","0.9",11.4,2.19,"@kni","@kmi",1,NA
"127","acolyte","0.14",13.77,3.06,"@kxlYt","",0,NA
"128","acorn","0.73",5.95,2.91,"ekorn","korn;skorn",2,1
"129","acoustic","0.96",12.39,2.68,"xkustIk","",0,NA
"130","acquiesce","0.06",14.25,3.47,"@kwiEs","",0,NA
"131","acquire","2.65",9.94,2.73,"xkwYr","kwYr;skwYr",2,1
"132","acquisition","1.45",13.63,3.67,"@kwxzIS|n","",0,NA
"133","acquisitive","0.06",14.19,3.06,"xkwIz|tIv","",0,NA
"134","acquit","0.47",13.22,3.15,"xkwIt","xkwIp;kwIt",2,0
"135","acre","1.82",9.8,3.16,"ekX","ek;nekX;okX",3,0
"136","acreage","0.43",13.13,3.89,"ekXIJ","",0,NA
"137","acrid","0.04",14.07,3.33,"@krxd","@rxd",1,NA
"138","acrimony","0.22",14.75,4.45,"@krxmoni","",0,NA
"139","acrobat","0.59",8.05,2.78,"@krxb@t","",0,NA
"140","acrobatic","0.24",9.38,3.69,"@krxb@tIk","@krxb@tIks",1,NA
"141","acrobatics","0.22",9,3.71,"@krxb@tIks","@krxb@tIk",1,NA
"142","acronym","0.29",11.56,2.75,"@krxnIm","",0,NA
"143","acrophobia","0.2",14.38,4.5,"@krxfobix","",0,NA
"144","across","94.14",6.64,2.31,"xkrcs","krcs;lxkrcs",2,0
"145","acrostic","#N/A",14.82,3.57,"xkrcstIk","",0,NA
"146","act","109.12",6.42,2.22,"@kt","@ktX;@ft;@nt;@pt;@t;@ks;f@kt;p@kt;t@kt",9,0.25
"147","action","61.08",6.67,2.83,"@kS|n","@S|n;ckS|n;f@kS|n",3,0
"148","activate","4.67",11.11,4.17,"@kt|vet","",0,NA
"149","active","11.45",6.53,1.74,"@ktIv","aktIv",1,NA
"150","activity","12.88",6.47,2.84,"@ktIvxti","",0,NA
"151","actor","26.33",7.17,2.01,"@ktX","@kt;@ftX;@stX;f@ktX",4,0.166666666666667
"152","actual","17.33",6.94,2.34,"@kCuL","@kCuLi;f@kCuL",2,0
"153","actuality","0.47",12.38,2.92,"@kCu@l|ti","",0,NA
"154","actually","322.33",7.33,1.87,"@kCuLi","@kCuL",1,NA
"155","acuity","0.27",13.88,1.46,"xkyu|ti","",0,NA
"156","acumen","0.14",14.44,2.19,"xkyumxn","",0,NA
"157","acute","2.94",11.6,3.65,"xkyut","xkyuz;kyut",2,0
"158","ad","13.61",8.22,3.04,"@d","@dX;@dL;ed;@nd;@z;@S;@s;@t;b@d;d@d;f@d;g@d;Id;l@d;m@d;ad;od;p@d;s@d",19,0.239766081871345
"159","adagio","0.24",12.62,4.78,"xdaJio","",0,NA
"160","adamant","0.98",14.29,3.5,"@dxmxnt","",0,NA
"161","adapt","2.63",9,2.83,"xd@pt","xdEpt;xdapt",2,1
"162","adaptability","0.14",11.65,3.04,"xd@ptxbIl|ti","",0,NA
"163","adaptation","1.59",11.39,2.7,"@d@pteS|n","",0,NA
"164","adder","1.43",12.13,4.87,"@dX","@d;@dL;@ZX;YdX;l@dX;odX",6,0.133333333333333
"165","addict","5.35",11.17,3.17,"@d|kt","",0,NA
"166","addiction","3.9",12.11,4.2,"xdIkS|n","xdIS|n;dIkS|n",2,0
