"","ortho","freq","aoa.mean","aoa.sd","klatt","neighbors","degree","c"
"1","able","159.9",7.79,3.31,"ebL","lebL;tebL",2,1
"2","about","3631.49",5.07,1.75,"xbWt","",0,NA
"3","above","48.88",4.55,2,"xb^v","",0,NA
"4","abracadabra","1.04",6.89,3.43,"@brxkxd@brx","",0,NA
"5","absence","6.31",7.7,2.2,"@bs|ns","@bs|nt",1,NA
"6","absent","2.57",6.5,2.18,"@bs|nt","@bs|ns",1,NA
"7","absolutely","113.12",7.08,2.58,"@bsxlutli","",0,NA
"8","accept","52.78",6.74,2.08,"@ksEpt","IksEpt",1,NA
"9","accident","81.29",5.3,2.18,"@ks|d|nt","",0,NA
"10","accidental","3",6.75,3.11,"@ksxdEntL","",0,NA
"11","accomplish","5.84",7.84,2.75,"xkamplIS","",0,NA
"12","ache","2.49",5.79,2.27,"ek","eJ;ed;em;ep;bek;kek;fek;lek;mek;ok;rek;Sek;tek;wek",14,0.461538461538462
"13","acorn","0.73",5.95,2.91,"ekorn","korn",1,NA
"14","across","94.14",6.64,2.31,"xkrcs","krcs",1,NA
"15","act","109.12",6.42,2.22,"@kt","@ktX;@nt;@t;@ks;f@kt",5,0.1
"16","action","61.08",6.67,2.83,"@kS|n","",0,NA
"17","active","11.45",6.53,1.74,"@ktIv","",0,NA
"18","activity","12.88",6.47,2.84,"@ktIvxti","",0,NA
"19","actor","26.33",7.17,2.01,"@ktX","@kt;@ftX",2,0
"20","actual","17.33",6.94,2.34,"@kCuL","@kCuLi",1,NA
"21","actually","322.33",7.33,1.87,"@kCuLi","@kCuL",1,NA
"22","addition","7.75",5.76,2.18,"xdIS|n","",0,NA
"23","address","52.27",5.15,1.57,"@drEs","drEs",1,NA
"24","admire","14.16",7.42,2.14,"xdmYr","",0,NA
"25","admit","59.2",7.56,2.23,"xdmIt","",0,NA
"26","adopt","4.67",7.83,3.29,"xdapt","",0,NA
"27","adorable","10.53",6.94,2.62,"xdorxbL","",0,NA
"28","adore","7.73",7.95,3.31,"xdor","",0,NA
"29","adult","14.29",4.68,2.26,"xd^lt","",0,NA
"30","adventure","13.43",5.67,1.81,"xdvEnCX","",0,NA
"31","advertisement","1.2",7.67,2.91,"@dvXtYzmxnt","",0,NA
"32","afford","44.43",7.47,2.17,"xford","xword",1,NA
"33","afraid","247.67",4.42,1.71,"xfred","",0,NA
"34","after","682.59",6,1.43,"@ftX","@ktX",1,NA
"35","afternoon","91.49",4.65,1.93,"@ftXnun","",0,NA
"36","again","792.71",5.78,1.31,"xgEn","",0,NA
"37","against","201.73",7.97,1.67,"xgEnst","",0,NA
"38","age","79.2",4.38,1.36,"eJ","ek;ed;em;ep;keJ;EJ;peJ",7,0.333333333333333
"39","ago","286.12",7.12,2.28,"xgo","go",1,NA
"40","agree","64.67",7.68,2.36,"xgri","",0,NA
"41","ahead","198.33",5.45,1.6,"xhEd","hEd",1,NA
"42","ahoy","3.71",7.61,2.85,"xhO","xnO",1,NA
"43","aid","13.9",7.33,2.2,"ed","ek;eJ;em;ep;fed;ad;Sed",7,0.333333333333333
"44","aim","14.86",6.72,2.11,"em","ek;eJ;ed;ep;fem;gem;nem;sem;Sem;tem",10,0.466666666666667
"45","air","139.02",3.94,1.55,"Er","bEr;kEr;CEr;dEr;Ir;EJ;ErX;fEr;hEr;Wr;or;pEr;rEr;SEr;DEr",15,0.457142857142857
"46","aircraft","9.45",7.61,3.33,"Erkr@ft","",0,NA
"47","aisle","7.43",5.95,1.54,"Yl","cl;dYl;il;Ys;Il;mYl;Ol;Wl;pYl;tYl",10,0.355555555555556
"48","alarm","29.84",6.39,2.68,"xlarm","",0,NA
"49","album","10.24",6.72,1.84,"@lbxm","",0,NA
"50","alien","17.43",7.5,3.43,"elixn","",0,NA
"51","alike","11.35",6.12,2.1,"xlYk","xlYv;lYk",2,0
"52","alive","154.47",5.11,2.4,"xlYv","xlYk",1,NA
"53","all","5161.86",4.24,1.4,"cl","Yl;bcl;kcl;il;fcl;hcl;Il;mcl;cf;Ol;Wl;tcl;wcl",13,0.397435897435897
"54","allergic","8.1",7.72,2.4,"xlRJIk","",0,NA
"55","alley","16.29",7.26,2.6,"@li","Rli;fli;v@li",3,0.333333333333333
"56","alligator","3.49",4.78,2.05,"@lxgetX","",0,NA
"57","allow","44.37",5.32,1.83,"xlW","xlWd",1,NA
"58","almond","1.1",7.67,2.22,"amxnd","",0,NA
"59","almost","193.27",5.47,2,"clmost","",0,NA
"60","alone","308.53",4.94,1.73,"xlon","",0,NA
"61","along","182.94",5.41,1.65,"xlcG","bxlcG;lcG",2,0
"62","aloud","1.84",6.22,1.75,"xlWd","xlW;klWd;lWd",3,0.333333333333333
"63","alphabet","2.49",4.22,1.52,"@lfxbEt","",0,NA
"64","alphabetize","0.1",7.11,2.47,"@lfxbxtYz","",0,NA
"65","also","206.43",6.64,1.61,"clso","",0,NA
"66","altar","5.08",7.16,3.48,"cltX","",0,NA
"67","aluminum","2.25",7.26,2.84,"xlum|nxm","",0,NA
"68","always","655.25",6.26,1.27,"clwxz","",0,NA
"69","amaze","1.61",7.5,2.73,"xmez","",0,NA
"70","ambulance","22.41",6.16,2.19,"@mbyUlxns","",0,NA
"71","amen","25.98",5.8,4.19,"emEn","",0,NA
"72","among","33.9",7.75,3.02,"xm^G","",0,NA
"73","amount","24.75",6.63,2.48,"xmWnt","",0,NA
"74","anchor","7.41",5.72,2.54,"@GkX","@GgX;@GkL",2,0
"75","and","13387.84",4.57,1.94,"@nd","@nt;b@nd;k@nd;End;h@nd;l@nd;s@nd",7,0.476190476190476
"76","angel","78.27",4,1.29,"enJL","",0,NA
"77","anger","19.43",6,2.58,"@GgX","@GkX",1,NA
"78","angry","58.98",4.45,1.9,"@Ggri","",0,NA
"79","animal","45.49",2.89,1.41,"@n|mL","",0,NA
"80","ankle","8.02",4.89,1.53,"@GkL","@GkX",1,NA
"81","anniversary","18.41",7.33,2,"@nxvRsXi","",0,NA
"82","annoy","2.51",7.22,2.05,"xnO","xhO",1,NA
"83","another","509.22",5.05,1.79,"xn^DX","",0,NA
"84","answer","176.2",5.43,1.89,"@nsX","",0,NA
"85","ant","5.35",4.32,1.57,"@nt","@kt;@nd;@t;C@nt;p@nt",5,0.2
"86","antenna","2.39",7.05,2.82,"@ntEnx","",0,NA
"87","anthill","0.57",7,2.94,"@nthIl","",0,NA
"88","antler","0.29",6.39,1.97,"@ntlX","",0,NA
"89","any","1099.37",6,1.96,"Eni","End;ni;mEni",3,0
"90","anyone","255.25",5.36,1.86,"Eniw^n","",0,NA
"91","anyway","238.51",6.31,1.94,"Eniwe","",0,NA
"92","apart","47.02",6.64,1.64,"xpart","part",1,NA
"93","apartment","83.04",7.8,2.78,"xpartmxnt","",0,NA
"94","ape","9.67",5.89,2.64,"ep","ek;eJ;ed;em;kep;Sep;tep;^p",8,0.321428571428571
"95","apologize","49.37",5.67,2.91,"xpalxJYz","",0,NA
"96","appear","23.37",6.67,3.01,"xpIr","spIr",1,NA
"97","applaud","2.14",7.1,2.25,"xplcd","xplcz",1,NA
"98","applause","11.29",6.2,2.26,"xplcz","xplcd",1,NA
"99","apple","23.67",4.15,1.81,"@pL","C@pL",1,NA
"100","appointment","30.57",7.53,3.04,"xpOntmxnt","",0,NA
"101","approval","8.39",7.95,2.27,"xpruvL","xpruv",1,NA
"102","approve","11.37",7.89,1.88,"xpruv","xpruvL;pruv",2,0
"103","apricot","0.63",6.15,1.9,"@prxkat","",0,NA
"104","apron","2.67",6.75,2.24,"eprxn","",0,NA
"105","aquarium","2.76",6.84,1.86,"xkw@rixm","",0,NA
"106","arcade","2.18",7.79,2.84,"arked","",0,NA
"107","arctic","1.96",7.79,1.87,"arktIk","",0,NA
"108","area","74.92",6.58,2.32,"@rix","",0,NA
"109","argue","19.75",4.61,1.54,"argyu","",0,NA
"110","arise","2.96",6.89,2.92,"xrYz","rYz",1,NA
"111","arithmetic","1.53",7.16,3.1,"xrITmxtIk","",0,NA
"112","arm","65.41",3.26,1.56,"arm","armX;armi;art;farm;harm",5,0.2
"113","armchair","0.41",6.56,2.31,"armCEr","",0,NA
"114","armor","7.29",7.17,3.13,"armX","arm;armi",2,1
"115","armpit","1.25",6,2.18,"armpIt","",0,NA
"116","army","85.69",7.15,2.08,"armi","arm;armX",2,1
"117","around","736.73",5.94,2.28,"xrWnd","grWnd;rWnd",2,1
"118","arrest","59.55",7.47,2.46,"xrEst","brEst;rEst",2,1
"119","arrow","7.84",6.07,2.13,"@ro","kro;gro;n@ro",3,0.333333333333333
"120","art","70.8",6.21,2.32,"art","arm;kart;Cart;dart;part",5,0.6
"121","artist","28.63",6.78,2.29,"art|st","",0,NA
"122","as","2217.02",6.1,2.3,"@z","@S;@s;@t;uz",4,0.5
"123","ash","9.2",6.63,2.54,"@S","@z;@s;@t;d@S;g@S;m@S;r@S;s@S",8,0.464285714285714
"124","ashamed","27.37",7.11,3.7,"xSemd","",0,NA
"125","aside","23.76",7.89,2.64,"xsYd","sYd",1,NA
"126","ask","483.14",2.89,1.37,"@sk","@s;m@sk;t@sk",3,0.333333333333333
"127","asleep","49.82",4.47,1.68,"xslip","slip",1,NA
"128","asparagus","0.98",6.79,3.85,"xsp@rxg|s","",0,NA
"129","aspirin","7.75",7.95,2.39,"@spX|n","",0,NA
"130","ass","226.37",7.84,3.11,"@s","@z;@S;@sk;@t;@ks;g@s;Ys;p@s;^s",9,0.138888888888889
"131","assembly","4.8",6.94,1.76,"xsEmbli","",0,NA
"132","assignment","17.88",7,2.56,"xsYnmxnt","",0,NA
"133","astronaut","3.96",6.28,2.44,"@strxnct","",0,NA
"134","at","3217.1",4.04,1.37,"@t","@kt;@nt;@z;@S;@s;b@t;k@t;C@t;it;f@t;h@t;It;m@t;ot;Wt;p@t;r@t;D@t",18,0.300653594771242
"135","athlete","4.61",7.11,2.73,"@Tlit","",0,NA
"136","atlas","1.02",7.9,2.13,"@tlxs","",0,NA
"137","attach","2.47",6.39,3.38,"xt@C","xt@k",1,NA
"138","attack","75.55",6.58,2.32,"xt@k","xt@C;st@k;t@k",3,0.333333333333333
"139","attempt","19.12",7.7,2.32,"xtEmpt","",0,NA
"140","attend","14.02",7.72,2.49,"xtEnd","",0,NA
"141","attendance","2.65",7.11,1.6,"xtEnd|ns","",0,NA
"142","attention","98.67",6.78,2.02,"xtEnC|n","",0,NA
"143","attic","7.84",5.15,1.46,"@tIk","stIk",1,NA
"144","attitude","26.08",6.78,3.04,"@t|tud","",0,NA
"145","audience","25.37",7,1.72,"cdixns","",0,NA
"146","auditorium","1.57",6.94,2.69,"cd|torixm","",0,NA
"147","author","7.94",7.1,2.43,"cTX","cfX",1,NA
"148","authority","21.22",7.5,2.79,"cTor|ti","",0,NA
"149","auto","7.67",7.22,3.41,"cto","ctM;to",2,0
"150","autograph","8.16",6.89,2.54,"ct|gr@f","",0,NA
"151","automobile","5.71",7.11,3.01,"ctxmobil","",0,NA
