"","ortho","freq","aoa.mean","aoa.sd","klatt","neighbors","degree","c"
"1","animal","45.49",2.89,1.41,"@n|mL","",0,NA
"2","ask","483.14",2.89,1.37,"@sk","",0,NA
"3","bad","545.18",2.79,1.27,"b@d","bEd;d@d",2,0
"4","ball","104.96",2.9,1.22,"bcl","",0,NA
"5","bantling","#N/A",2,NA,"b@ntlIG","",0,NA
"6","bed","187.12",2.89,1.41,"bEd","b@d",1,NA
"7","big","682.82",2.89,1.08,"bIg","",0,NA
"8","count","89.96",2.61,0.98,"kWnt","",0,NA
"9","cry","65.65",2.78,1.66,"krY","",0,NA
"10","dad","507.25",2.58,1.17,"d@d","b@d;d@di",2,0
"11","daddy","185.08",2.56,1.29,"d@di","d@d",1,NA
"12","dog","192.84",2.8,1.2,"dcg","",0,NA
"13","eat","251.88",2.78,1.48,"it","",0,NA
"14","hand","279.65",2.74,1.24,"h@nd","",0,NA
"15","happy","333.2",2.72,1.6,"h@pi","",0,NA
"16","hug","19.33",2.58,0.96,"h^g","",0,NA
"17","jump","69.82",2.84,1.3,"J^mp","",0,NA
"18","mama","103.71",1.89,1.29,"mamx","",0,NA
"19","mother","479.92",2.63,1.07,"m^DX","",0,NA
"20","my","6762.73",2.72,1.44,"mY","",0,NA
"21","nap","12.65",2.53,0.77,"n@p","",0,NA
"22","nose","69.75",2.95,1.15,"noz","",0,NA
"23","shoe","30.39",2.6,1.19,"Su","",0,NA
"24","sleep","227.94",2.79,1.03,"slip","",0,NA
"25","snack","9.14",2.78,1.22,"sn@k","",0,NA
"26","sock","8.98",2.94,1.39,"sak","",0,NA
"27","spoon","7.61",2.5,0.79,"spun","",0,NA
"28","stop","707.27",2.89,1.6,"stap","",0,NA
"29","up","3670",2.92,1.68,"^p","",0,NA
"30","water","225.06",2.37,0.76,"wctX","",0,NA
"31","wet","39.22",2.47,1.35,"wEt","",0,NA
"32","yes","1996.76",2.31,1.68,"yEs","",0,NA
