"","ortho","freq","aoa.mean","aoa.sd","klatt","neighbors","degree","c"
"1","about","3631.49",5.07,1.75,"xbWt","",0,NA
"2","above","48.88",4.55,2,"xb^v","",0,NA
"3","abracadabra","1.04",6.89,3.43,"@brxkxd@brx","",0,NA
"4","absent","2.57",6.5,2.18,"@bs|nt","",0,NA
"5","accept","52.78",6.74,2.08,"@ksEpt","IksEpt",1,NA
"6","accident","81.29",5.3,2.18,"@ks|d|nt","",0,NA
"7","accidental","3",6.75,3.11,"@ksxdEntL","",0,NA
"8","ache","2.49",5.79,2.27,"ek","eJ;em;ep;bek;kek;fek;lek;mek;rek;Sek;tek;wek",12,0.590909090909091
"9","acorn","0.73",5.95,2.91,"ekorn","korn",1,NA
"10","across","94.14",6.64,2.31,"xkrcs","krcs",1,NA
"11","act","109.12",6.42,2.22,"@kt","@nt;@t;@ks;f@kt",4,0.166666666666667
"12","action","61.08",6.67,2.83,"@kS|n","",0,NA
"13","active","11.45",6.53,1.74,"@ktIv","",0,NA
"14","activity","12.88",6.47,2.84,"@ktIvxti","",0,NA
"15","actual","17.33",6.94,2.34,"@kCuL","",0,NA
"16","addition","7.75",5.76,2.18,"xdIS|n","",0,NA
"17","address","52.27",5.15,1.57,"@drEs","drEs",1,NA
"18","adorable","10.53",6.94,2.62,"xdorxbL","",0,NA
"19","adult","14.29",4.68,2.26,"xd^lt","",0,NA
"20","adventure","13.43",5.67,1.81,"xdvEnCX","",0,NA
"21","afraid","247.67",4.42,1.71,"xfred","",0,NA
"22","after","682.59",6,1.43,"@ftX","",0,NA
"23","afternoon","91.49",4.65,1.93,"@ftXnun","",0,NA
"24","again","792.71",5.78,1.31,"xgEn","",0,NA
"25","age","79.2",4.38,1.36,"eJ","ek;em;ep;keJ;EJ;peJ",6,0.266666666666667
"26","ahead","198.33",5.45,1.6,"xhEd","hEd",1,NA
"27","aim","14.86",6.72,2.11,"em","ek;eJ;ep;gem;nem;sem;Sem",7,0.428571428571429
"28","air","139.02",3.94,1.55,"Er","bEr;kEr;CEr;dEr;Ir;EJ;ErX;fEr;hEr;Wr;or;pEr;SEr;DEr",14,0.428571428571429
"29","aisle","7.43",5.95,1.54,"Yl","cl;dYl;il;Ys;Il;Wl;pYl;tYl",8,0.321428571428571
"30","alarm","29.84",6.39,2.68,"xlarm","",0,NA
"31","album","10.24",6.72,1.84,"@lbxm","",0,NA
"32","alike","11.35",6.12,2.1,"xlYk","xlYv;lYk",2,0
"33","alive","154.47",5.11,2.4,"xlYv","xlYk",1,NA
"34","all","5161.86",4.24,1.4,"cl","Yl;bcl;kcl;il;fcl;hcl;Il;mcl;cf;Wl;tcl;wcl",12,0.409090909090909
"35","alligator","3.49",4.78,2.05,"@lxgetX","",0,NA
"36","allow","44.37",5.32,1.83,"xlW","xlWd",1,NA
"37","almost","193.27",5.47,2,"clmost","",0,NA
"38","alone","308.53",4.94,1.73,"xlon","",0,NA
"39","along","182.94",5.41,1.65,"xlcG","bxlcG;lcG",2,0
"40","aloud","1.84",6.22,1.75,"xlWd","xlW;klWd;lWd",3,0.333333333333333
"41","alphabet","2.49",4.22,1.52,"@lfxbEt","",0,NA
"42","also","206.43",6.64,1.61,"clso","",0,NA
"43","always","655.25",6.26,1.27,"clwxz","",0,NA
"44","ambulance","22.41",6.16,2.19,"@mbyUlxns","",0,NA
"45","amen","25.98",5.8,4.19,"emEn","",0,NA
"46","amount","24.75",6.63,2.48,"xmWnt","",0,NA
"47","anchor","7.41",5.72,2.54,"@GkX","@GgX;@GkL",2,0
"48","and","13387.84",4.57,1.94,"@nd","@nt;b@nd;End;h@nd;l@nd;s@nd",6,0.4
"49","angel","78.27",4,1.29,"enJL","",0,NA
"50","anger","19.43",6,2.58,"@GgX","@GkX",1,NA
"51","angry","58.98",4.45,1.9,"@Ggri","",0,NA
"52","animal","45.49",2.89,1.41,"@n|mL","",0,NA
