"","ortho","freq","aoa.mean","aoa.sd","klatt","neighbors","degree","c"
"1","aardvark","0.41",9.89,3.66,"ardvark","",0,NA
"2","abacus","0.24",8.69,3.77,"@bxkxs","",0,NA
"3","abandon","8.1",8.32,2.75,"xb@nd|n","",0,NA
"4","abbreviate","0.02",9.95,2.07,"xbriviet","",0,NA
"5","abbreviation","0.24",9.11,2.37,"xbrivieS|n","",0,NA
"6","abdomen","3.35",8.61,2.25,"@bdxmxn","",0,NA
"7","abide","2.71",9.5,3.11,"xbYd","xsYd",1,NA
"8","ability","19.22",8.84,3.22,"xbIl|ti","",0,NA
"9","able","159.9",7.79,3.31,"ebL","kebL;febL;lebL;tebL",4,1
"10","aboard","26.63",8.66,1.33,"xbord","xkord;xford;xword;bord",4,0.5
"11","abominable","0.63",8.94,3.04,"xbamxnxbL","",0,NA
"12","about","3631.49",5.07,1.75,"xbWt","",0,NA
"13","above","48.88",4.55,2,"xb^v","",0,NA
"14","abracadabra","1.04",6.89,3.43,"@brxkxd@brx","",0,NA
"15","absence","6.31",7.7,2.2,"@bs|ns","@bs|nt",1,NA
"16","absent","2.57",6.5,2.18,"@bs|nt","@bs|ns",1,NA
"17","absolute","11.31",8.53,3.44,"@bsxlut","",0,NA
"18","absolutely","113.12",7.08,2.58,"@bsxlutli","",0,NA
"19","absorb","1.98",8.83,2.33,"xbsorb","",0,NA
"20","abuse","10.25",8.61,2.73,"xbyuz","xkyuz;xmyuz",2,1
"21","academic","4.67",9.74,2.98,"@k|dEmIk","",0,NA
"22","academy","12.41",9.05,2.55,"xk@dxmi","",0,NA
"23","accent","12.18",8.6,3,"@ksEnt","@ksEpt",1,NA
"24","accept","52.78",6.74,2.08,"@ksEpt","@ksEnt;IksEpt",2,0
"25","acceptance","3.16",8.56,2.04,"@ksEpt|ns","",0,NA
"26","access","31.67",9.1,2.36,"@ksEs","EksEs",1,NA
"27","accessible","1.1",9.94,3.26,"@ksEs|bL","",0,NA
"28","accident","81.29",5.3,2.18,"@ks|d|nt","",0,NA
"29","accidental","3",6.75,3.11,"@ksxdEntL","",0,NA
"30","accommodate","2.14",9.9,2.25,"xkamxdet","",0,NA
"31","accommodation","0.94",9.58,3.15,"xkamxdeS|n","",0,NA
"32","accomplice","4.24",9.78,2.82,"xkamplxs","",0,NA
"33","accomplish","5.84",7.84,2.75,"xkamplIS","",0,NA
"34","accord","1.63",9.65,2.74,"xkord","xbord;xford;xword;kord",4,0.5
"35","accordion","1.31",8.61,2.97,"xkordixn","",0,NA
"36","account","44.71",8.26,2.84,"xkWnt","xmWnt;kWnt",2,0
