"","ortho","freq","aoa.mean","aoa.sd","klatt","neighbors","degree","c"
"1","aardvark","0.41",9.89,3.66,"ardvark","",0,NA
"2","abacus","0.24",8.69,3.77,"@bxkxs","",0,NA
"3","abandon","8.1",8.32,2.75,"xb@nd|n","",0,NA
"4","abbreviate","0.02",9.95,2.07,"xbriviet","",0,NA
"5","abbreviation","0.24",9.11,2.37,"xbrivieS|n","",0,NA
"6","abdomen","3.35",8.61,2.25,"@bdxmxn","",0,NA
"7","abdominal","3.41",10.24,3.6,"@bdamxnL","",0,NA
"8","abduct","0.71",11.26,4.03,"@bd^kt","",0,NA
"9","abide","2.71",9.5,3.11,"xbYd","xlYd;xsYd",2,1
"10","ability","19.22",8.84,3.22,"xbIl|ti","xJIl|ti",1,NA
"11","ablaze","0.41",10.83,2.68,"xblez","blez",1,NA
"12","able","159.9",7.79,3.31,"ebL","kebL;febL;gebL;lebL;sebL;tebL",6,1
"13","abnormal","2.9",10.05,2.61,"@bnormL","",0,NA
"14","abnormality","0.51",11.58,3.34,"@bnorm@l|ti","",0,NA
"15","aboard","26.63",8.66,1.33,"xbord","xkord;xford;xword;bord",4,0.5
"16","abolish","0.47",10.42,2.57,"xbalIS","",0,NA
"17","abominable","0.63",8.94,3.04,"xbamxnxbL","",0,NA
"18","abound","0.35",11.65,3.12,"xbWnd","xrWnd;bWnd",2,0
"19","about","3631.49",5.07,1.75,"xbWt","bWt",1,NA
"20","above","48.88",4.55,2,"xb^v","",0,NA
"21","abracadabra","1.04",6.89,3.43,"@brxkxd@brx","",0,NA
"22","abroad","4.9",10.15,3.2,"xbrcd","brcd",1,NA
"23","abrupt","1.14",10.95,3.47,"xbr^pt","",0,NA
"24","absence","6.31",7.7,2.2,"@bs|ns","@bs|nt",1,NA
"25","absent","2.57",6.5,2.18,"@bs|nt","@bs|ns;@bs|nti",2,0
"26","absentee","0.35",11,3.61,"@bs|nti","@bs|nt",1,NA
"27","absentminded","0.06",10.84,3.11,"@bs|ntmYnd|d","",0,NA
"28","absolute","11.31",8.53,3.44,"@bsxlut","",0,NA
"29","absolutely","113.12",7.08,2.58,"@bsxlutli","",0,NA
"30","absolution","0.94",11.71,3.14,"@bsxluS|n","",0,NA
"31","absorb","1.98",8.83,2.33,"xbsorb","",0,NA
"32","abstract","2.18",11.47,3.58,"@bstr@kt","",0,NA
"33","absurd","9.71",10.5,3.1,"xbsRd","",0,NA
"34","abuse","10.25",8.61,2.73,"xbyuz","xkyuz;xmyuz",2,1
"35","abyss","1.76",11,2.43,"xbIs","xmIs",1,NA
