"","ortho","freq","aoa.mean","aoa.sd","klatt","neighbors","degree","c"
"1","abacus","0.24",8.69,3.77,"@bxkxs","",0,NA
"2","abandon","8.1",8.32,2.75,"xb@nd|n","",0,NA
"3","abdomen","3.35",8.61,2.25,"@bdxmxn","",0,NA
"4","ability","19.22",8.84,3.22,"xbIl|ti","",0,NA
"5","able","159.9",7.79,3.31,"ebL","febL;lebL;tebL",3,1
"6","aboard","26.63",8.66,1.33,"xbord","xford;xword;bord",3,0.333333333333333
"7","abominable","0.63",8.94,3.04,"xbamxnxbL","",0,NA
"8","about","3631.49",5.07,1.75,"xbWt","",0,NA
"9","above","48.88",4.55,2,"xb^v","",0,NA
"10","abracadabra","1.04",6.89,3.43,"@brxkxd@brx","",0,NA
"11","absence","6.31",7.7,2.2,"@bs|ns","@bs|nt",1,NA
"12","absent","2.57",6.5,2.18,"@bs|nt","@bs|ns",1,NA
"13","absolute","11.31",8.53,3.44,"@bsxlut","",0,NA
"14","absolutely","113.12",7.08,2.58,"@bsxlutli","",0,NA
"15","absorb","1.98",8.83,2.33,"xbsorb","",0,NA
"16","abuse","10.25",8.61,2.73,"xbyuz","",0,NA
"17","accent","12.18",8.6,3,"@ksEnt","@ksEpt",1,NA
"18","accept","52.78",6.74,2.08,"@ksEpt","@ksEnt;IksEpt",2,0
"19","acceptance","3.16",8.56,2.04,"@ksEpt|ns","",0,NA
"20","accident","81.29",5.3,2.18,"@ks|d|nt","",0,NA
"21","accidental","3",6.75,3.11,"@ksxdEntL","",0,NA
"22","accomplish","5.84",7.84,2.75,"xkamplIS","",0,NA
"23","accordion","1.31",8.61,2.97,"xkordixn","",0,NA
"24","account","44.71",8.26,2.84,"xkWnt","xmWnt;kWnt",2,0
"25","ace","14.73",8.83,3.65,"es","ek;eJ;ed;em;ep;@s;bes;kes;Ces;fes;Ys;les;pes;res;^s;ves",16,0.341666666666667
"26","ache","2.49",5.79,2.27,"ek","es;eJ;ed;em;ep;bek;kek;fek;lek;mek;ok;rek;sek;Sek;tek;wek",16,0.458333333333333
"27","achieve","7.33",8.53,1.95,"xCiv","",0,NA
"28","acorn","0.73",5.95,2.91,"ekorn","korn",1,NA
